,date,enrolled,available,waitlisted,total
0,2024-02-16,0,70,0,70
1,2024-02-17,15,55,0,70
2,2024-02-18,17,53,0,70
3,2024-02-19,70,0,0,70
4,2024-02-20,70,0,0,70
5,2024-02-21,70,0,0,70
6,2024-02-22,70,0,0,70
7,2024-02-23,70,0,0,70
8,2024-02-24,70,0,0,70
9,2024-02-25,70,0,0,70
10,2024-02-26,70,0,5,70
11,2024-02-27,70,0,10,70
12,2024-02-28,70,0,82,70
13,2024-02-29,70,0,169,70
14,2024-03-01,70,0,180,70
15,2024-03-02,70,0,181,70
16,2024-03-04,70,0,184,70
17,2024-03-05,70,0,185,70
18,2024-03-06,97,0,185,70
19,2024-03-07,103,0,155,70
20,2024-03-08,105,0,149,70
21,2024-03-09,105,0,146,70
22,2024-03-10,106,0,144,70
23,2024-03-11,106,0,144,70
24,2024-03-12,106,0,142,70
25,2024-03-13,259,51,14,310
26,2024-03-14,266,44,9,310
27,2024-03-15,274,36,8,310
28,2024-03-16,276,34,3,310
29,2024-03-17,277,33,2,310
30,2024-03-18,280,30,2,310
31,2024-03-19,283,27,0,310
32,2024-03-20,284,26,0,310
33,2024-03-21,290,20,0,310
34,2024-03-22,291,19,0,310
35,2024-03-23,293,17,0,310
36,2024-03-24,295,15,0,310
37,2024-03-25,296,14,0,310
38,2024-03-26,297,13,0,310
39,2024-03-27,298,12,0,310
40,2024-03-28,303,7,0,310
41,2024-03-29,310,0,3,310
42,2024-03-30,310,0,4,310
43,2024-03-31,310,0,9,310
44,2024-04-01,310,0,18,310
45,2024-04-02,310,0,18,310
46,2024-04-03,310,0,18,310
47,2024-04-04,310,0,15,310
48,2024-04-05,310,0,14,310
49,2024-04-06,310,0,14,310
50,2024-04-07,310,0,14,310
51,2024-04-08,310,0,14,310
52,2024-04-09,310,0,12,310
53,2024-04-10,310,0,9,320
54,2024-04-13,319,0,2,310
55,2024-04-14,319,0,2,310
56,2024-04-15,318,0,2,310
57,2024-04-16,318,0,2,310
